Date,CumulativeCases,DailyCases,CumulativeDeaths,DailyDeaths
3/17/2020,183,183,2,2
3/18/2020,216,33,2,0
3/19/2020,277,61,2,0
3/20/2020,363,86,4,2
3/21/2020,475,112,5,1
3/22/2020,591,116,6,1
3/23/2020,720,129,7,1
3/24/2020,912,192,11,4
3/25/2020,1086,174,19,8
3/26/2020,1430,344,24,5
3/27/2020,1734,304,31,7
3/28/2020,2061,327,44,13
3/29/2020,2307,246,47,3
3/30/2020,2627,320,51,4
3/31/2020,2966,339,69,18
4/1/2020,3342,376,80,11
4/2/2020,3728,386,97,17
4/3/2020,4173,445,111,14
4/4/2020,4565,392,126,15
4/5/2020,4950,385,140,14
4/6/2020,5172,222,150,10
4/7/2020,5429,257,179,29
4/8/2020,5655,226,193,14
4/9/2020,6202,547,226,33
4/10/2020,6510,308,250,24
4/11/2020,6893,383,274,24
4/12/2020,7303,410,290,16
4/13/2020,7691,388,308,18
4/14/2020,7941,250,329,21
4/15/2020,8280,339,357,28
4/16/2020,8675,395,374,17
4/17/2020,9047,372,391,17
4/18/2020,9433,386,411,20
4/19/2020,9730,297,422,11
4/20/2020,10106,376,449,27
4/21/2020,10447,341,486,37
4/22/2020,10878,431,508,22
4/23/2020,11262,384,552,44
4/24/2020,12255,993,674,122
4/25/2020,12968,713,672,-2
4/26/2020,13441,473,680,8
4/27/2020,13879,438,706,26
4/28/2020,14316,437,736,30
4/29/2020,14758,442,766,30
4/30/2020,15284,526,777,11
5/1/2020,15768,484,820,43
5/2/2020,16225,457,832,12
5/3/2020,16635,410,842,10
5/4/2020,16907,272,851,9
5/5/2020,17364,457,903,52
5/6/2020,17830,466,921,18
5/7/2020,18371,541,944,23
5/8/2020,18827,456,960,16
5/9/2020,19375,548,967,7
5/10/2020,19703,328,971,4
5/11/2020,19879,176,987,16
5/12/2020,20157,278,1009,22
5/13/2020,20475,318,1062,53
5/14/2020,20838,363,1091,29
5/15/2020,21232,394,1150,59
5/16/2020,21633,401,1192,42
5/17/2020,21938,305,1215,23
5/18/2020,22202,264,1224,9
5/19/2020,22482,280,1257,33
5/20/2020,22797,315,1299,42
5/21/2020,23191,394,1310,11
5/22/2020,23487,296,1324,14
5/23/2020,23964,477,1327,3
5/24/2020,24174,210,1332,5
5/25/2020,24269,95,1333,1
5/26/2020,24565,296,1352,19
5/27/2020,24767,202,1392,40
5/28/2020,25121,354,1421,29
5/29/2020,25613,492,1436,15
5/30/2020,26098,485,1443,7
5/31/2020,26378,280,1445,2
6/1/2020,26577,199,1458,13
6/2/2020,26788,211,1474,16
6/3/2020,27060,272,1494,20
