state,cases,deaths
Alabama,521623,10739
Alaska,65201,318
Arizona,852570,17153
Arkansas,332949,5686
California,3712556,60837
Colorado,488663,6319
Connecticut,328000,7990
Delaware,100322,1596
District of Columbia,46449,1093
Florida,2148440,34237
Georgia,1055997,19057
Hawaii,31337,470
Idaho,184661,2017
Illinois,1299782,23920
Indiana,707932,13211
Iowa,359260,5878
Kansas,308086,4953
Kentucky,439326,6406
Louisiana,451955,10282
Maine,56525,763
Maryland,433545,8528
Massachusetts,667066,17432
Michigan,857527,17806
Minnesota,552195,7073
Mississippi,308737,7139
Missouri,595336,9111
Montana,107057,1538
Nebraska,215886,2329
Nevada,310239,5365
New Hampshire,90525,1264
New Jersey,967401,25034
New Mexico,194605,3999
New York,1984884,50965
North Carolina,947694,12385
North Dakota,105588,1509
Ohio,1050112,18991
Oklahoma,444590,6697
Oregon,173240,2469
Pennsylvania,1104166,25678
Rhode Island,144149,2647
South Carolina,567277,9309
South Dakota,120856,1952
Tennessee,814809,11942
Texas,2844814,49605
Utah,391694,2162
Vermont,21803,242
Virginia,643220,10549
Washington,383965,5412
West Virginia,148071,2777
Wisconsin,649416,7406
Wyoming,57203,703
